Representative,RepresentativeLink,Constituency,ConstituencyLink,Province,Caucus,CaucusHomepage
"Ablonczy, Diane (Hon.)",ProfileMP.aspx?Key=170392&Language=E,Calgary—Nose Hill,ProfileConstituency.aspx?Key=514&Language=E,Alberta,Conservative,http://www.conservative.ca/
"Adams, Eve",ProfileMP.aspx?Key=170485&Language=E,Mississauga—Brampton South,ProfileConstituency.aspx?Key=437&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Adler, Mark",ProfileMP.aspx?Key=170479&Language=E,York Centre,ProfileConstituency.aspx?Key=488&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Aglukkaq, Leona (Hon.)",ProfileMP.aspx?Key=170884&Language=E,Nunavut,ProfileConstituency.aspx?Key=573&Language=E,Nunavut,Conservative,http://www.conservative.ca/
"Albas, Dan",ProfileMP.aspx?Key=170448&Language=E,Okanagan—Coquihalla,ProfileConstituency.aspx?Key=555&Language=E,British Columbia,Conservative,http://www.conservative.ca/
"Albrecht, Harold",ProfileMP.aspx?Key=170525&Language=E,Kitchener—Conestoga,ProfileConstituency.aspx?Key=602&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Alexander, Chris (Hon.)",ProfileMP.aspx?Key=170437&Language=E,Ajax—Pickering,ProfileConstituency.aspx?Key=397&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Allen, Malcolm ",ProfileMP.aspx?Key=170456&Language=E,Welland,ProfileConstituency.aspx?Key=483&Language=E,Ontario,NDP,http://www.ndp.ca/
"Allen, Mike ",ProfileMP.aspx?Key=170562&Language=E,Tobique—Mactaquac,ProfileConstituency.aspx?Key=332&Language=E,New Brunswick,Conservative,http://www.conservative.ca/
"Allison, Dean",ProfileMP.aspx?Key=170444&Language=E,Niagara West—Glanbrook,ProfileConstituency.aspx?Key=445&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Ambler, Stella",ProfileMP.aspx?Key=170092&Language=E,Mississauga South,ProfileConstituency.aspx?Key=440&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Ambrose, Rona (Hon.)",ProfileMP.aspx?Key=170519&Language=E,Edmonton—Spruce Grove,ProfileConstituency.aspx?Key=526&Language=E,Alberta,Conservative,http://www.conservative.ca/
"Anders, Rob",ProfileMP.aspx?Key=170305&Language=E,Calgary West,ProfileConstituency.aspx?Key=518&Language=E,Alberta,Conservative,http://www.conservative.ca/
"Anderson, David",ProfileMP.aspx?Key=170577&Language=E,Cypress Hills—Grasslands,ProfileConstituency.aspx?Key=505&Language=E,Saskatchewan,Conservative,http://www.conservative.ca/
"Andrews, Scott",ProfileMP.aspx?Key=170649&Language=E,Avalon,ProfileConstituency.aspx?Key=302&Language=E,Newfoundland and Labrador,Liberal,http://www.liberal.ca/
"Angus, Charlie",ProfileMP.aspx?Key=170184&Language=E,Timmins—James Bay,ProfileConstituency.aspx?Key=478&Language=E,Ontario,NDP,http://www.ndp.ca/
"Armstrong, Scott",ProfileMP.aspx?Key=170629&Language=E,Cumberland—Colchester—Musquodoboit Valley,ProfileConstituency.aspx?Key=318&Language=E,Nova Scotia,Conservative,http://www.conservative.ca/
"Ashfield, Keith (Hon.)",ProfileMP.aspx?Key=170143&Language=E,Fredericton,ProfileConstituency.aspx?Key=325&Language=E,New Brunswick,Conservative,http://www.conservative.ca/
"Ashton, Niki",ProfileMP.aspx?Key=170756&Language=E,Churchill,ProfileConstituency.aspx?Key=494&Language=E,Manitoba,NDP,http://www.ndp.ca/
"Aspin, Jay",ProfileMP.aspx?Key=170744&Language=E,Nipissing—Timiskaming,ProfileConstituency.aspx?Key=447&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Atamanenko, Alex",ProfileMP.aspx?Key=170732&Language=E,British Columbia Southern Interior,ProfileConstituency.aspx?Key=561&Language=E,British Columbia,NDP,http://www.ndp.ca/
"Aubin, Robert",ProfileMP.aspx?Key=170320&Language=E,Trois-Rivières,ProfileConstituency.aspx?Key=394&Language=E,Québec,NDP,http://www.ndp.ca/
"Ayala, Paulina",ProfileMP.aspx?Key=170226&Language=E,Honoré-Mercier,ProfileConstituency.aspx?Key=353&Language=E,Québec,NDP,http://www.ndp.ca/
"Baird, John (Hon.)",ProfileMP.aspx?Key=170471&Language=E,Ottawa West—Nepean,ProfileConstituency.aspx?Key=455&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Bateman, Joyce",ProfileMP.aspx?Key=170772&Language=E,Winnipeg South Centre,ProfileConstituency.aspx?Key=504&Language=E,Manitoba,Conservative,http://www.conservative.ca/
"Bélanger, Mauril (Hon.)",ProfileMP.aspx?Key=170111&Language=E,Ottawa—Vanier,ProfileConstituency.aspx?Key=454&Language=E,Ontario,Liberal,http://www.liberal.ca/
"Bellavance, André",ProfileMP.aspx?Key=170182&Language=E,Richmond—Arthabaska,ProfileConstituency.aspx?Key=383&Language=E,Québec,Bloc Québécois,http://www.blocquebecois.org/default.asp
"Bennett, Carolyn (Hon.)",ProfileMP.aspx?Key=170271&Language=E,St. Paul's,ProfileConstituency.aspx?Key=464&Language=E,Ontario,Liberal,http://www.liberal.ca/
"Benoit, Leon",ProfileMP.aspx?Key=170662&Language=E,Vegreville—Wainwright,ProfileConstituency.aspx?Key=533&Language=E,Alberta,Conservative,http://www.conservative.ca/
"Benskin, Tyrone",ProfileMP.aspx?Key=170276&Language=E,Jeanne-Le Ber,ProfileConstituency.aspx?Key=355&Language=E,Québec,NDP,http://www.ndp.ca/
"Bergen, Candice (Hon.)",ProfileMP.aspx?Key=170637&Language=E,Portage—Lisgar,ProfileConstituency.aspx?Key=498&Language=E,Manitoba,Conservative,http://www.conservative.ca/
"Bernier, Maxime (Hon.)",ProfileMP.aspx?Key=170141&Language=E,Beauce,ProfileConstituency.aspx?Key=337&Language=E,Québec,Conservative,http://www.conservative.ca/
"Bevington, Dennis",ProfileMP.aspx?Key=170821&Language=E,Western Arctic,ProfileConstituency.aspx?Key=572&Language=E,Northwest Territories,NDP,http://www.ndp.ca/
"Bezan, James",ProfileMP.aspx?Key=170657&Language=E,Selkirk—Interlake,ProfileConstituency.aspx?Key=500&Language=E,Manitoba,Conservative,http://www.conservative.ca/
"Blanchette, Denis",ProfileMP.aspx?Key=170215&Language=E,Louis-Hébert,ProfileConstituency.aspx?Key=578&Language=E,Québec,NDP,http://www.ndp.ca/
"Blanchette-Lamothe, Lysane",ProfileMP.aspx?Key=170188&Language=E,Pierrefonds—Dollard,ProfileConstituency.aspx?Key=377&Language=E,Québec,NDP,http://www.ndp.ca/
"Blaney, Steven (Hon.)",ProfileMP.aspx?Key=170274&Language=E,Lévis—Bellechasse,ProfileConstituency.aspx?Key=364&Language=E,Québec,Conservative,http://www.conservative.ca/
"Block, Kelly",ProfileMP.aspx?Key=170240&Language=E,Saskatoon—Rosetown—Biggar,ProfileConstituency.aspx?Key=507&Language=E,Saskatchewan,Conservative,http://www.conservative.ca/
"Boivin, Françoise",ProfileMP.aspx?Key=170299&Language=E,Gatineau,ProfileConstituency.aspx?Key=351&Language=E,Québec,NDP,http://www.ndp.ca/
"Borg, Charmaine",ProfileMP.aspx?Key=170229&Language=E,Terrebonne—Blainville,ProfileConstituency.aspx?Key=393&Language=E,Québec,NDP,http://www.ndp.ca/
"Boughen, Ray",ProfileMP.aspx?Key=170484&Language=E,Palliser,ProfileConstituency.aspx?Key=27&Language=E,Saskatchewan,Conservative,http://www.conservative.ca/
"Boulerice, Alexandre",ProfileMP.aspx?Key=170207&Language=E,Rosemont—La Petite-Patrie,ProfileConstituency.aspx?Key=580&Language=E,Québec,NDP,http://www.ndp.ca/
"Boutin-Sweet, Marjolaine",ProfileMP.aspx?Key=170151&Language=E,Hochelaga,ProfileConstituency.aspx?Key=352&Language=E,Québec,NDP,http://www.ndp.ca/
"Brahmi, Tarik",ProfileMP.aspx?Key=170307&Language=E,Saint-Jean,ProfileConstituency.aspx?Key=583&Language=E,Québec,NDP,http://www.ndp.ca/
"Braid, Peter",ProfileMP.aspx?Key=170367&Language=E,Kitchener—Waterloo,ProfileConstituency.aspx?Key=433&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Breitkreuz, Garry",ProfileMP.aspx?Key=170247&Language=E,Yorkton—Melville,ProfileConstituency.aspx?Key=509&Language=E,Saskatchewan,Conservative,http://www.conservative.ca/
"Brison, Scott (Hon.)",ProfileMP.aspx?Key=170626&Language=E,Kings—Hants,ProfileConstituency.aspx?Key=317&Language=E,Nova Scotia,Liberal,http://www.liberal.ca/
"Brosseau, Ruth Ellen",ProfileMP.aspx?Key=170121&Language=E,Berthier—Maskinongé,ProfileConstituency.aspx?Key=340&Language=E,Québec,NDP,http://www.ndp.ca/
"Brown, Gordon  ",ProfileMP.aspx?Key=170192&Language=E,Leeds—Grenville,ProfileConstituency.aspx?Key=247&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Brown, Lois ",ProfileMP.aspx?Key=170148&Language=E,Newmarket—Aurora,ProfileConstituency.aspx?Key=443&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Brown, Patrick ",ProfileMP.aspx?Key=170139&Language=E,Barrie,ProfileConstituency.aspx?Key=400&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Bruinooge, Rod",ProfileMP.aspx?Key=170197&Language=E,Winnipeg South,ProfileConstituency.aspx?Key=503&Language=E,Manitoba,Conservative,http://www.conservative.ca/
"Butt, Brad",ProfileMP.aspx?Key=170412&Language=E,Mississauga—Streetsville,ProfileConstituency.aspx?Key=441&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Byrne, Gerry (Hon.)",ProfileMP.aspx?Key=170734&Language=E,Humber—St. Barbe—Baie Verte,ProfileConstituency.aspx?Key=304&Language=E,Newfoundland and Labrador,Liberal,http://www.liberal.ca/
"Calandra, Paul ",ProfileMP.aspx?Key=170339&Language=E,Oak Ridges—Markham,ProfileConstituency.aspx?Key=449&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Calkins, Blaine",ProfileMP.aspx?Key=170646&Language=E,Wetaskiwin,ProfileConstituency.aspx?Key=535&Language=E,Alberta,Conservative,http://www.conservative.ca/
"Cannan, Ron (Hon.)",ProfileMP.aspx?Key=170089&Language=E,Kelowna—Lake Country,ProfileConstituency.aspx?Key=548&Language=E,British Columbia,Conservative,http://www.conservative.ca/
"Carmichael, John",ProfileMP.aspx?Key=170418&Language=E,Don Valley West,ProfileConstituency.aspx?Key=412&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Caron, Guy",ProfileMP.aspx?Key=170671&Language=E,Rimouski-Neigette—Témiscouata—Les Basques,ProfileConstituency.aspx?Key=384&Language=E,Québec,NDP,http://www.ndp.ca/
"Carrie, Colin",ProfileMP.aspx?Key=170404&Language=E,Oshawa,ProfileConstituency.aspx?Key=451&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Casey, Sean",ProfileMP.aspx?Key=170396&Language=E,Charlottetown,ProfileConstituency.aspx?Key=309&Language=E,Prince Edward Island,Liberal,http://www.liberal.ca/
"Cash, Andrew",ProfileMP.aspx?Key=170493&Language=E,Davenport,ProfileConstituency.aspx?Key=410&Language=E,Ontario,NDP,http://www.ndp.ca/
"Charlton, Chris",ProfileMP.aspx?Key=170199&Language=E,Hamilton Mountain,ProfileConstituency.aspx?Key=427&Language=E,Ontario,NDP,http://www.ndp.ca/
"Chicoine, Sylvain",ProfileMP.aspx?Key=170160&Language=E,Châteauguay—Saint-Constant,ProfileConstituency.aspx?Key=346&Language=E,Québec,NDP,http://www.ndp.ca/
"Chisholm, Robert",ProfileMP.aspx?Key=170644&Language=E,Dartmouth—Cole Harbour,ProfileConstituency.aspx?Key=314&Language=E,Nova Scotia,NDP,http://www.ndp.ca/
"Chisu, Corneliu",ProfileMP.aspx?Key=170558&Language=E,Pickering—Scarborough East,ProfileConstituency.aspx?Key=460&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Chong, Michael (Hon.)",ProfileMP.aspx?Key=170497&Language=E,Wellington—Halton Hills,ProfileConstituency.aspx?Key=484&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Choquette, François",ProfileMP.aspx?Key=170228&Language=E,Drummond,ProfileConstituency.aspx?Key=349&Language=E,Québec,NDP,http://www.ndp.ca/
"Chow, Olivia",ProfileMP.aspx?Key=170633&Language=E,Trinity—Spadina,ProfileConstituency.aspx?Key=481&Language=E,Ontario,NDP,http://www.ndp.ca/
"Christopherson, David",ProfileMP.aspx?Key=170251&Language=E,Hamilton Centre,ProfileConstituency.aspx?Key=425&Language=E,Ontario,NDP,http://www.ndp.ca/
"Clarke, Rob",ProfileMP.aspx?Key=170607&Language=E,Desnethé—Missinippi—Churchill River,ProfileConstituency.aspx?Key=25&Language=E,Saskatchewan,Conservative,http://www.conservative.ca/
"Cleary, Ryan",ProfileMP.aspx?Key=170371&Language=E,St. John's South—Mount Pearl,ProfileConstituency.aspx?Key=307&Language=E,Newfoundland and Labrador,NDP,http://www.ndp.ca/
"Clement, Tony (Hon.)",ProfileMP.aspx?Key=170352&Language=E,Parry Sound—Muskoka,ProfileConstituency.aspx?Key=457&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Comartin, Joe",ProfileMP.aspx?Key=170538&Language=E,Windsor—Tecumseh,ProfileConstituency.aspx?Key=487&Language=E,Ontario,NDP,http://www.ndp.ca/
"Côté, Raymond",ProfileMP.aspx?Key=170262&Language=E,Beauport—Limoilou,ProfileConstituency.aspx?Key=339&Language=E,Québec,NDP,http://www.ndp.ca/
"Cotler, Irwin (Hon.)",ProfileMP.aspx?Key=170211&Language=E,Mount Royal,ProfileConstituency.aspx?Key=579&Language=E,Québec,Liberal,http://www.liberal.ca/
"Crockatt, Joan",ProfileMP.aspx?Key=190570&Language=E,Calgary Centre,ProfileConstituency.aspx?Key=515&Language=E,Alberta,Conservative,http://www.conservative.ca/
"Crowder, Jean",ProfileMP.aspx?Key=170315&Language=E,Nanaimo—Cowichan,ProfileConstituency.aspx?Key=600&Language=E,British Columbia,NDP,http://www.ndp.ca/
"Cullen, Nathan",ProfileMP.aspx?Key=170843&Language=E,Skeena—Bulkley Valley,ProfileConstituency.aspx?Key=560&Language=E,British Columbia,NDP,http://www.ndp.ca/
"Cuzner, Rodger",ProfileMP.aspx?Key=170638&Language=E,Cape Breton—Canso,ProfileConstituency.aspx?Key=312&Language=E,Nova Scotia,Liberal,http://www.liberal.ca/
"Daniel, Joe",ProfileMP.aspx?Key=170565&Language=E,Don Valley East,ProfileConstituency.aspx?Key=411&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Davidson, Patricia",ProfileMP.aspx?Key=170097&Language=E,Sarnia—Lambton,ProfileConstituency.aspx?Key=465&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Davies, Don ",ProfileMP.aspx?Key=170261&Language=E,Vancouver Kingsway,ProfileConstituency.aspx?Key=567&Language=E,British Columbia,NDP,http://www.ndp.ca/
"Davies, Libby  ",ProfileMP.aspx?Key=170224&Language=E,Vancouver East,ProfileConstituency.aspx?Key=565&Language=E,British Columbia,NDP,http://www.ndp.ca/
"Day, Anne-Marie",ProfileMP.aspx?Key=170127&Language=E,Charlesbourg—Haute-Saint-Charles,ProfileConstituency.aspx?Key=344&Language=E,Québec,NDP,http://www.ndp.ca/
"Dechert, Bob",ProfileMP.aspx?Key=170270&Language=E,Mississauga—Erindale,ProfileConstituency.aspx?Key=439&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Del Mastro, Dean",ProfileMP.aspx?Key=170200&Language=E,Peterborough,ProfileConstituency.aspx?Key=459&Language=E,Ontario,Conservative Independent
"Devolin, Barry",ProfileMP.aspx?Key=170721&Language=E,Haliburton—Kawartha Lakes—Brock,ProfileConstituency.aspx?Key=423&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Dewar, Paul",ProfileMP.aspx?Key=170296&Language=E,Ottawa Centre,ProfileConstituency.aspx?Key=591&Language=E,Ontario,NDP,http://www.ndp.ca/
"Dion, Stéphane (Hon.)",ProfileMP.aspx?Key=170086&Language=E,Saint-Laurent—Cartierville,ProfileConstituency.aspx?Key=584&Language=E,Québec,Liberal,http://www.liberal.ca/
"Dionne Labelle, Pierre",ProfileMP.aspx?Key=170169&Language=E,Rivière-du-Nord,ProfileConstituency.aspx?Key=387&Language=E,Québec,NDP,http://www.ndp.ca/
"Donnelly, Fin",ProfileMP.aspx?Key=170284&Language=E,New Westminster—Coquitlam,ProfileConstituency.aspx?Key=552&Language=E,British Columbia,NDP,http://www.ndp.ca/
"Doré Lefebvre, Rosane",ProfileMP.aspx?Key=170401&Language=E,Alfred-Pellan,ProfileConstituency.aspx?Key=335&Language=E,Québec,NDP,http://www.ndp.ca/
"Dreeshen, Earl",ProfileMP.aspx?Key=170209&Language=E,Red Deer,ProfileConstituency.aspx?Key=532&Language=E,Alberta,Conservative,http://www.conservative.ca/
"Dubé, Matthew",ProfileMP.aspx?Key=170102&Language=E,Chambly—Borduas,ProfileConstituency.aspx?Key=576&Language=E,Québec,NDP,http://www.ndp.ca/
"Dubourg, Emmanuel",ProfileMP.aspx?Key=199817&Language=E,Bourassa,ProfileConstituency.aspx?Key=341&Language=E,Québec,Liberal,http://www.liberal.ca/
"Duncan, John   (Hon.)",ProfileMP.aspx?Key=170742&Language=E,Vancouver Island North,ProfileConstituency.aspx?Key=566&Language=E,British Columbia,Conservative,http://www.conservative.ca/
"Duncan, Kirsty ",ProfileMP.aspx?Key=170334&Language=E,Etobicoke North,ProfileConstituency.aspx?Key=418&Language=E,Ontario,Liberal,http://www.liberal.ca/
"Duncan, Linda ",ProfileMP.aspx?Key=170183&Language=E,Edmonton—Strathcona,ProfileConstituency.aspx?Key=527&Language=E,Alberta,NDP,http://www.ndp.ca/
"Dusseault, Pierre-Luc",ProfileMP.aspx?Key=170324&Language=E,Sherbrooke,ProfileConstituency.aspx?Key=392&Language=E,Québec,NDP,http://www.ndp.ca/
"Dykstra, Rick",ProfileMP.aspx?Key=170661&Language=E,St. Catharines,ProfileConstituency.aspx?Key=463&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Easter, Wayne (Hon.)",ProfileMP.aspx?Key=170158&Language=E,Malpeque,ProfileConstituency.aspx?Key=311&Language=E,Prince Edward Island,Liberal,http://www.liberal.ca/
