Representative,RepresentativeLink,Constituency,ConstituencyLink,Province,Caucus,CaucusHomepage
"Moore, Rob  (Hon.)",ProfileMP.aspx?Key=170571&Language=E,Fundy Royal,ProfileConstituency.aspx?Key=326&Language=E,New Brunswick,Conservative,http://www.conservative.ca/
"Morin, Dany ",ProfileMP.aspx?Key=170347&Language=E,Chicoutimi—Le Fjord,ProfileConstituency.aspx?Key=347&Language=E,Québec,NDP,http://www.ndp.ca/
"Morin, Isabelle ",ProfileMP.aspx?Key=170286&Language=E,Notre-Dame-de-Grâce—Lachine,ProfileConstituency.aspx?Key=373&Language=E,Québec,NDP,http://www.ndp.ca/
"Morin, Marc-André ",ProfileMP.aspx?Key=170527&Language=E,Laurentides—Labelle,ProfileConstituency.aspx?Key=360&Language=E,Québec,NDP,http://www.ndp.ca/
"Morin, Marie-Claude ",ProfileMP.aspx?Key=170267&Language=E,Saint-Hyacinthe—Bagot,ProfileConstituency.aspx?Key=582&Language=E,Québec,NDP,http://www.ndp.ca/
"Mourani, Maria",ProfileMP.aspx?Key=170253&Language=E,Ahuntsic,ProfileConstituency.aspx?Key=334&Language=E,Québec,Independent
"Mulcair, Thomas (Hon.)",ProfileMP.aspx?Key=170208&Language=E,Outremont,ProfileConstituency.aspx?Key=375&Language=E,Québec,NDP,http://www.ndp.ca/
"Murray, Joyce",ProfileMP.aspx?Key=170450&Language=E,Vancouver Quadra,ProfileConstituency.aspx?Key=568&Language=E,British Columbia,Liberal,http://www.liberal.ca/
"Nantel, Pierre",ProfileMP.aspx?Key=170168&Language=E,Longueuil—Pierre-Boucher,ProfileConstituency.aspx?Key=365&Language=E,Québec,NDP,http://www.ndp.ca/
"Nash, Peggy",ProfileMP.aspx?Key=170382&Language=E,Parkdale—High Park,ProfileConstituency.aspx?Key=456&Language=E,Ontario,NDP,http://www.ndp.ca/
"Nicholls, Jamie",ProfileMP.aspx?Key=170174&Language=E,Vaudreuil-Soulanges,ProfileConstituency.aspx?Key=586&Language=E,Québec,NDP,http://www.ndp.ca/
"Nicholson, Rob (Hon.)",ProfileMP.aspx?Key=170414&Language=E,Niagara Falls,ProfileConstituency.aspx?Key=444&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Norlock, Rick",ProfileMP.aspx?Key=170175&Language=E,Northumberland—Quinte West,ProfileConstituency.aspx?Key=448&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Nunez-Melo, José",ProfileMP.aspx?Key=170249&Language=E,Laval,ProfileConstituency.aspx?Key=362&Language=E,Québec,NDP,http://www.ndp.ca/
"Obhrai, Deepak (Hon.)",ProfileMP.aspx?Key=170330&Language=E,Calgary East,ProfileConstituency.aspx?Key=511&Language=E,Alberta,Conservative,http://www.conservative.ca/
"O'Connor, Gordon (Hon.)",ProfileMP.aspx?Key=170107&Language=E,Carleton—Mississippi Mills,ProfileConstituency.aspx?Key=408&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Oliver, Joe (Hon.)",ProfileMP.aspx?Key=170569&Language=E,Eglinton—Lawrence,ProfileConstituency.aspx?Key=414&Language=E,Ontario,Conservative,http://www.conservative.ca/
"O'Neill Gordon, Tilly",ProfileMP.aspx?Key=170369&Language=E,Miramichi,ProfileConstituency.aspx?Key=328&Language=E,New Brunswick,Conservative,http://www.conservative.ca/
"Opitz, Ted",ProfileMP.aspx?Key=170886&Language=E,Etobicoke Centre,ProfileConstituency.aspx?Key=417&Language=E,Ontario,Conservative,http://www.conservative.ca/
"O'Toole, Erin",ProfileMP.aspx?Key=190568&Language=E,Durham,ProfileConstituency.aspx?Key=409&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Pacetti, Massimo",ProfileMP.aspx?Key=170377&Language=E,Saint-Léonard—Saint-Michel,ProfileConstituency.aspx?Key=390&Language=E,Québec,Liberal,http://www.liberal.ca/
"Papillon, Annick",ProfileMP.aspx?Key=170575&Language=E,Québec,ProfileConstituency.aspx?Key=380&Language=E,Québec,NDP,http://www.ndp.ca/
"Paradis, Christian (Hon.)",ProfileMP.aspx?Key=170204&Language=E,Mégantic—L'Érable,ProfileConstituency.aspx?Key=371&Language=E,Québec,Conservative,http://www.conservative.ca/
"Patry, Claude",ProfileMP.aspx?Key=170341&Language=E,Jonquière—Alma,ProfileConstituency.aspx?Key=357&Language=E,Québec,Bloc Québécois,http://www.blocquebecois.org/default.asp
"Payne, LaVar",ProfileMP.aspx?Key=170432&Language=E,Medicine Hat,ProfileConstituency.aspx?Key=530&Language=E,Alberta,Conservative,http://www.conservative.ca/
"Péclet, Ève",ProfileMP.aspx?Key=170505&Language=E,La Pointe-de-l'Île,ProfileConstituency.aspx?Key=359&Language=E,Québec,NDP,http://www.ndp.ca/
"Perreault, Manon",ProfileMP.aspx?Key=170313&Language=E,Montcalm,ProfileConstituency.aspx?Key=372&Language=E,Québec,NDP,http://www.ndp.ca/
"Pilon, François",ProfileMP.aspx?Key=170220&Language=E,Laval—Les Îles,ProfileConstituency.aspx?Key=363&Language=E,Québec,NDP,http://www.ndp.ca/
"Plamondon, Louis",ProfileMP.aspx?Key=170256&Language=E,Bas-Richelieu—Nicolet—Bécancour,ProfileConstituency.aspx?Key=382&Language=E,Québec,Bloc Québécois,http://www.blocquebecois.org/default.asp
"Poilievre, Pierre (Hon.)",ProfileMP.aspx?Key=170277&Language=E,Nepean—Carleton,ProfileConstituency.aspx?Key=442&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Preston, Joe",ProfileMP.aspx?Key=170279&Language=E,Elgin—Middlesex—London,ProfileConstituency.aspx?Key=415&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Quach, Anne Minh-Thu",ProfileMP.aspx?Key=170535&Language=E,Beauharnois—Salaberry,ProfileConstituency.aspx?Key=338&Language=E,Québec,NDP,http://www.ndp.ca/
"Rafferty, John",ProfileMP.aspx?Key=170586&Language=E,Thunder Bay—Rainy River,ProfileConstituency.aspx?Key=476&Language=E,Ontario,NDP,http://www.ndp.ca/
"Raitt, Lisa (Hon.)",ProfileMP.aspx?Key=170517&Language=E,Halton,ProfileConstituency.aspx?Key=424&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Rajotte, James",ProfileMP.aspx?Key=170439&Language=E,Edmonton—Leduc,ProfileConstituency.aspx?Key=523&Language=E,Alberta,Conservative,http://www.conservative.ca/
"Rankin, Murray",ProfileMP.aspx?Key=190572&Language=E,Victoria,ProfileConstituency.aspx?Key=601&Language=E,British Columbia,NDP,http://www.ndp.ca/
"Rathgeber, Brent",ProfileMP.aspx?Key=170123&Language=E,Edmonton—St. Albert,ProfileConstituency.aspx?Key=524&Language=E,Alberta,Independent
"Ravignat, Mathieu",ProfileMP.aspx?Key=170290&Language=E,Pontiac,ProfileConstituency.aspx?Key=378&Language=E,Québec,NDP,http://www.ndp.ca/
"Raynault, Francine",ProfileMP.aspx?Key=170145&Language=E,Joliette,ProfileConstituency.aspx?Key=356&Language=E,Québec,NDP,http://www.ndp.ca/
"Regan, Geoff (Hon.)",ProfileMP.aspx?Key=170113&Language=E,Halifax West,ProfileConstituency.aspx?Key=316&Language=E,Nova Scotia,Liberal,http://www.liberal.ca/
"Reid, Scott",ProfileMP.aspx?Key=170473&Language=E,Lanark—Frontenac—Lennox and Addington,ProfileConstituency.aspx?Key=434&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Rempel, Michelle (Hon.)",ProfileMP.aspx?Key=170436&Language=E,Calgary Centre-North,ProfileConstituency.aspx?Key=512&Language=E,Alberta,Conservative,http://www.conservative.ca/
"Richards, Blake",ProfileMP.aspx?Key=170554&Language=E,Wild Rose,ProfileConstituency.aspx?Key=536&Language=E,Alberta,Conservative,http://www.conservative.ca/
"Rickford, Greg (Hon.)",ProfileMP.aspx?Key=170762&Language=E,Kenora,ProfileConstituency.aspx?Key=429&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Ritz, Gerry (Hon.)",ProfileMP.aspx?Key=170668&Language=E,Battlefords—Lloydminster,ProfileConstituency.aspx?Key=23&Language=E,Saskatchewan,Conservative,http://www.conservative.ca/
"Rousseau, Jean",ProfileMP.aspx?Key=170180&Language=E,Compton—Stanstead,ProfileConstituency.aspx?Key=348&Language=E,Québec,NDP,http://www.ndp.ca/
"Saganash, Romeo",ProfileMP.aspx?Key=170760&Language=E,Abitibi—Baie-James—Nunavik—Eeyou,ProfileConstituency.aspx?Key=374&Language=E,Québec,NDP,http://www.ndp.ca/
"Sandhu, Jasbir",ProfileMP.aspx?Key=170328&Language=E,Surrey North,ProfileConstituency.aspx?Key=563&Language=E,British Columbia,NDP,http://www.ndp.ca/
"Saxton, Andrew",ProfileMP.aspx?Key=170162&Language=E,North Vancouver,ProfileConstituency.aspx?Key=554&Language=E,British Columbia,Conservative,http://www.conservative.ca/
"Scarpaleggia, Francis",ProfileMP.aspx?Key=170322&Language=E,Lac-Saint-Louis,ProfileConstituency.aspx?Key=358&Language=E,Québec,Liberal,http://www.liberal.ca/
"Scheer, Andrew (Hon.)",ProfileMP.aspx?Key=170616&Language=E,Regina—Qu'Appelle,ProfileConstituency.aspx?Key=597&Language=E,Saskatchewan,Conservative,http://www.conservative.ca/
"Schellenberger, Gary",ProfileMP.aspx?Key=170465&Language=E,Perth—Wellington,ProfileConstituency.aspx?Key=458&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Scott, Craig",ProfileMP.aspx?Key=181257&Language=E,Toronto—Danforth,ProfileConstituency.aspx?Key=480&Language=E,Ontario,NDP,http://www.ndp.ca/
"Seeback, Kyle",ProfileMP.aspx?Key=170567&Language=E,Brampton West,ProfileConstituency.aspx?Key=404&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Sellah, Djaouida",ProfileMP.aspx?Key=170386&Language=E,Saint-Bruno—Saint-Hubert,ProfileConstituency.aspx?Key=581&Language=E,Québec,NDP,http://www.ndp.ca/
"Sgro, Judy (Hon.)",ProfileMP.aspx?Key=170467&Language=E,York West,ProfileConstituency.aspx?Key=491&Language=E,Ontario,Liberal,http://www.liberal.ca/
"Shea, Gail (Hon.)",ProfileMP.aspx?Key=170532&Language=E,Egmont,ProfileConstituency.aspx?Key=310&Language=E,Prince Edward Island,Conservative,http://www.conservative.ca/
"Shipley, Bev",ProfileMP.aspx?Key=170137&Language=E,Lambton—Kent—Middlesex,ProfileConstituency.aspx?Key=436&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Shory, Devinder",ProfileMP.aspx?Key=170727&Language=E,Calgary Northeast,ProfileConstituency.aspx?Key=513&Language=E,Alberta,Conservative,http://www.conservative.ca/
"Simms, Scott ",ProfileMP.aspx?Key=170738&Language=E,Bonavista—Gander—Grand Falls—Windsor,ProfileConstituency.aspx?Key=303&Language=E,Newfoundland and Labrador,Liberal,http://www.liberal.ca/
"Sims, Jinny Jogindera ",ProfileMP.aspx?Key=170673&Language=E,Newton—North Delta,ProfileConstituency.aspx?Key=551&Language=E,British Columbia,NDP,http://www.ndp.ca/
"Sitsabaiesan, Rathika",ProfileMP.aspx?Key=170390&Language=E,Scarborough—Rouge River,ProfileConstituency.aspx?Key=470&Language=E,Ontario,NDP,http://www.ndp.ca/
"Smith, Joy",ProfileMP.aspx?Key=170217&Language=E,Kildonan—St. Paul,ProfileConstituency.aspx?Key=497&Language=E,Manitoba,Conservative,http://www.conservative.ca/
"Sopuck, Robert",ProfileMP.aspx?Key=170623&Language=E,Dauphin—Swan River—Marquette,ProfileConstituency.aspx?Key=495&Language=E,Manitoba,Conservative,http://www.conservative.ca/
"Sorenson, Kevin (Hon.)",ProfileMP.aspx?Key=170625&Language=E,Crowfoot,ProfileConstituency.aspx?Key=519&Language=E,Alberta,Conservative,http://www.conservative.ca/
"Stanton, Bruce",ProfileMP.aspx?Key=170447&Language=E,Simcoe North,ProfileConstituency.aspx?Key=473&Language=E,Ontario,Conservative,http://www.conservative.ca/
"St-Denis, Lise",ProfileMP.aspx?Key=170098&Language=E,Saint-Maurice—Champlain,ProfileConstituency.aspx?Key=391&Language=E,Québec,Liberal,http://www.liberal.ca/
"Stewart, Kennedy",ProfileMP.aspx?Key=170419&Language=E,Burnaby—Douglas,ProfileConstituency.aspx?Key=539&Language=E,British Columbia,NDP,http://www.ndp.ca/
"Stoffer, Peter",ProfileMP.aspx?Key=170509&Language=E,Sackville—Eastern Shore,ProfileConstituency.aspx?Key=319&Language=E,Nova Scotia,NDP,http://www.ndp.ca/
"Storseth, Brian",ProfileMP.aspx?Key=170665&Language=E,Westlock—St. Paul,ProfileConstituency.aspx?Key=603&Language=E,Alberta,Conservative,http://www.conservative.ca/
"Strahl, Mark",ProfileMP.aspx?Key=170609&Language=E,Chilliwack—Fraser Canyon,ProfileConstituency.aspx?Key=542&Language=E,British Columbia,Conservative,http://www.conservative.ca/
"Sullivan, Mike",ProfileMP.aspx?Key=170154&Language=E,York South—Weston,ProfileConstituency.aspx?Key=490&Language=E,Ontario,NDP,http://www.ndp.ca/
"Sweet, David",ProfileMP.aspx?Key=170125&Language=E,Ancaster—Dundas—Flamborough—Westdale,ProfileConstituency.aspx?Key=399&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Thibeault, Glenn",ProfileMP.aspx?Key=170117&Language=E,Sudbury,ProfileConstituency.aspx?Key=475&Language=E,Ontario,NDP,http://www.ndp.ca/
"Tilson, David",ProfileMP.aspx?Key=170219&Language=E,Dufferin—Caledon,ProfileConstituency.aspx?Key=413&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Toet, Lawrence",ProfileMP.aspx?Key=170541&Language=E,Elmwood—Transcona,ProfileConstituency.aspx?Key=496&Language=E,Manitoba,Conservative,http://www.conservative.ca/
"Toone, Philip",ProfileMP.aspx?Key=170311&Language=E,Gaspésie—Îles-de-la-Madeleine,ProfileConstituency.aspx?Key=350&Language=E,Québec,NDP,http://www.ndp.ca/
"Tremblay, Jonathan",ProfileMP.aspx?Key=170236&Language=E,Montmorency—Charlevoix—Haute-Côte-Nord,ProfileConstituency.aspx?Key=345&Language=E,Québec,NDP,http://www.ndp.ca/
"Trost, Brad",ProfileMP.aspx?Key=170561&Language=E,Saskatoon—Humboldt,ProfileConstituency.aspx?Key=506&Language=E,Saskatchewan,Conservative,http://www.conservative.ca/
"Trottier, Bernard",ProfileMP.aspx?Key=170234&Language=E,Etobicoke—Lakeshore,ProfileConstituency.aspx?Key=588&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Trudeau, Justin",ProfileMP.aspx?Key=170093&Language=E,Papineau,ProfileConstituency.aspx?Key=376&Language=E,Québec,Liberal,http://www.liberal.ca/
"Truppe, Susan",ProfileMP.aspx?Key=170223&Language=E,London North Centre,ProfileConstituency.aspx?Key=590&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Turmel, Nycole",ProfileMP.aspx?Key=170293&Language=E,Hull—Aylmer,ProfileConstituency.aspx?Key=354&Language=E,Québec,NDP,http://www.ndp.ca/
"Uppal, Tim (Hon.)",ProfileMP.aspx?Key=170494&Language=E,Edmonton—Sherwood Park,ProfileConstituency.aspx?Key=525&Language=E,Alberta,Conservative,http://www.conservative.ca/
"Valcourt, Bernard (Hon.)",ProfileMP.aspx?Key=170415&Language=E,Madawaska—Restigouche,ProfileConstituency.aspx?Key=327&Language=E,New Brunswick,Conservative,http://www.conservative.ca/
"Valeriote, Frank",ProfileMP.aspx?Key=170547&Language=E,Guelph,ProfileConstituency.aspx?Key=421&Language=E,Ontario,Liberal,http://www.liberal.ca/
"Van Kesteren, Dave",ProfileMP.aspx?Key=170243&Language=E,Chatham-Kent—Essex,ProfileConstituency.aspx?Key=587&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Van Loan, Peter (Hon.)",ProfileMP.aspx?Key=170393&Language=E,York—Simcoe,ProfileConstituency.aspx?Key=489&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Vellacott, Maurice",ProfileMP.aspx?Key=170552&Language=E,Saskatoon—Wanuskewin,ProfileConstituency.aspx?Key=508&Language=E,Saskatchewan,Conservative,http://www.conservative.ca/
"Wallace, Mike",ProfileMP.aspx?Key=170531&Language=E,Burlington,ProfileConstituency.aspx?Key=406&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Warawa, Mark",ProfileMP.aspx?Key=170478&Language=E,Langley,ProfileConstituency.aspx?Key=550&Language=E,British Columbia,Conservative,http://www.conservative.ca/
"Warkentin, Chris",ProfileMP.aspx?Key=170770&Language=E,Peace River,ProfileConstituency.aspx?Key=531&Language=E,Alberta,Conservative,http://www.conservative.ca/
"Watson, Jeff",ProfileMP.aspx?Key=170523&Language=E,Essex,ProfileConstituency.aspx?Key=416&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Weston, John ",ProfileMP.aspx?Key=170578&Language=E,West Vancouver—Sunshine Coast—Sea to Sky Country,ProfileConstituency.aspx?Key=570&Language=E,British Columbia,Conservative,http://www.conservative.ca/
"Weston, Rodney ",ProfileMP.aspx?Key=170164&Language=E,Saint John,ProfileConstituency.aspx?Key=331&Language=E,New Brunswick,Conservative,http://www.conservative.ca/
"Wilks, David",ProfileMP.aspx?Key=170736&Language=E,Kootenay—Columbia,ProfileConstituency.aspx?Key=549&Language=E,British Columbia,Conservative,http://www.conservative.ca/
"Williamson, John",ProfileMP.aspx?Key=170573&Language=E,New Brunswick Southwest,ProfileConstituency.aspx?Key=330&Language=E,New Brunswick,Conservative,http://www.conservative.ca/
"Wong, Alice (Hon.)",ProfileMP.aspx?Key=170326&Language=E,Richmond,ProfileConstituency.aspx?Key=558&Language=E,British Columbia,Conservative,http://www.conservative.ca/
"Woodworth, Stephen",ProfileMP.aspx?Key=170115&Language=E,Kitchener Centre,ProfileConstituency.aspx?Key=431&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Yelich, Lynne (Hon.)",ProfileMP.aspx?Key=170549&Language=E,Blackstrap,ProfileConstituency.aspx?Key=24&Language=E,Saskatchewan,Conservative,http://www.conservative.ca/
"Young, Terence ",ProfileMP.aspx?Key=170498&Language=E,Oakville,ProfileConstituency.aspx?Key=450&Language=E,Ontario,Conservative,http://www.conservative.ca/
"Young, Wai ",ProfileMP.aspx?Key=170611&Language=E,Vancouver South,ProfileConstituency.aspx?Key=569&Language=E,British Columbia,Conservative,http://www.conservative.ca/
"Zimmer, Bob",ProfileMP.aspx?Key=170730&Language=E,Prince George—Peace River,ProfileConstituency.aspx?Key=557&Language=E,British Columbia,Conservative,http://www.conservative.ca/
